epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,20840.1,0.58183,0.45739,1.40292,0.55547,0.37446,0.40425,0.33807,1.35408,2.09591,1.98508,0.0002575,0.0002575,0.0002575
77,21114,0.57694,0.4499,1.41242,0.56028,0.37549,0.40482,0.33834,1.3559,2.09488,1.9831,0.0002476,0.0002476,0.0002476
78,21387.8,0.57415,0.44912,1.40464,0.55528,0.37526,0.40461,0.33809,1.35633,2.0958,1.98143,0.0002377,0.0002377,0.0002377
79,21662.2,0.5765,0.45309,1.40744,0.56124,0.37426,0.40487,0.33897,1.35538,2.09629,1.98291,0.0002278,0.0002278,0.0002278
80,21936.7,0.57574,0.45044,1.41107,0.5601,0.37565,0.40514,0.33912,1.35467,2.09289,1.98441,0.0002179,0.0002179,0.0002179
81,22210.5,0.57661,0.4501,1.40821,0.55701,0.37738,0.4052,0.33932,1.35398,2.08711,1.98285,0.000208,0.000208,0.000208
82,22485,0.57167,0.44859,1.40081,0.55898,0.37259,0.40569,0.34014,1.35373,2.08482,1.98148,0.0001981,0.0001981,0.0001981
83,22758.7,0.56879,0.44491,1.40627,0.5539,0.37665,0.40561,0.33932,1.35367,2.08345,1.98255,0.0001882,0.0001882,0.0001882
84,23032.2,0.57125,0.44772,1.40433,0.56084,0.37316,0.4054,0.34036,1.35356,2.08363,1.9833,0.0001783,0.0001783,0.0001783
85,23307,0.57101,0.44554,1.40611,0.5592,0.37372,0.40557,0.34052,1.35368,2.0832,1.9841,0.0001684,0.0001684,0.0001684
86,23580.5,0.56711,0.44293,1.40537,0.55666,0.37614,0.40571,0.33926,1.3535,2.08413,1.98589,0.0001585,0.0001585,0.0001585
87,23854.2,0.56826,0.44515,1.40365,0.55535,0.37392,0.40562,0.33919,1.35382,2.08481,1.98672,0.0001486,0.0001486,0.0001486
88,24127,0.5587,0.43714,1.4029,0.5598,0.37491,0.40566,0.33959,1.35358,2.08732,1.98679,0.0001387,0.0001387,0.0001387
89,24399.4,0.56839,0.4449,1.40403,0.559,0.37381,0.40606,0.33938,1.35323,2.08596,1.98697,0.0001288,0.0001288,0.0001288
90,24672.7,0.56003,0.43815,1.40466,0.56031,0.37427,0.40623,0.33892,1.353,2.08685,1.9864,0.0001189,0.0001189,0.0001189
91,24946.2,0.55335,0.42555,1.43893,0.55553,0.3768,0.40612,0.33939,1.35533,2.09397,1.98984,0.000109,0.000109,0.000109
92,25218.1,0.52824,0.41046,1.42737,0.55319,0.37753,0.40617,0.33952,1.35696,2.09556,1.99094,9.91e-05,9.91e-05,9.91e-05
93,25490.6,0.5201,0.40528,1.4225,0.55233,0.37828,0.40595,0.33907,1.35848,2.0976,1.99168,8.92e-05,8.92e-05,8.92e-05
94,25762.6,0.51938,0.40547,1.42142,0.55039,0.37846,0.40611,0.33977,1.35936,2.1005,1.99314,7.93e-05,7.93e-05,7.93e-05
95,26035,0.51557,0.40222,1.42292,0.55452,0.37837,0.40655,0.33983,1.36004,2.10014,1.99549,6.94e-05,6.94e-05,6.94e-05
96,26307.1,0.50901,0.39842,1.41839,0.55533,0.37818,0.40637,0.33952,1.3615,2.10118,1.99668,5.95e-05,5.95e-05,5.95e-05
97,26579.5,0.5075,0.39574,1.41394,0.55968,0.378,0.40655,0.34003,1.36258,2.10353,1.99793,4.96e-05,4.96e-05,4.96e-05
98,26851.8,0.50317,0.39541,1.41259,0.56024,0.3779,0.40662,0.34015,1.36324,2.10497,1.99865,3.97e-05,3.97e-05,3.97e-05
99,27123.5,0.50461,0.39569,1.41503,0.56038,0.37738,0.4064,0.34024,1.36424,2.1067,1.99939,2.98e-05,2.98e-05,2.98e-05
100,27396.2,0.49874,0.39054,1.41126,0.55876,0.37706,0.40635,0.33973,1.3655,2.11164,2.00094,1.99e-05,1.99e-05,1.99e-05
